Vancouver — Rental Market Statistics Summary by Zone
October 2016 Apartment Bedroom Type - Total
,Vacancy Rate (%),,Availability Rate (%),,Average Rent ($),,Median Rent ($),,% Change,,Units,
West End/Stanley Park,0.6,a ,0.7,a ,"1,418",a ,"1,350",a ,5.3,b ,"3,874",
English Bay,0.8,a ,0.8,a ,"1,473",a ,"1,438",a ,10.7,a ,"6,770",
Downtown,0.5,a ,2.3,a ,"1,470",a ,"1,395",a ,6.4,b ,"10,629",
South Granville/Oak,0.7,a ,1.4,a ,"1,355",a ,"1,280",a ,7.6,b ,"7,765",
Kitsilano/Point Grey,1.2,a ,1.5,a ,"1,391",a ,"1,328",a ,8.7,c ,"7,198",
Westside/Kerrisdale,2.0,c ,2.4,b ,"1,453",a ,"1,381",a ,4.0,c ,"3,077",
Marpole,0.6,a ,0.8,a ,985,a ,933,a ,6.3,c ,"4,000",
Mount Pleasant/Renfrew Heights,0.8,a ,0.8,a ,"1,147",a ,"1,075",a ,7.5,b ,"6,377",
East Hastings,0.8,a ,1.1,a ,"1,050",a ,992,a ,4.4,c ,"5,187",
Southeast Vancouver,0.8,a ,1.4,a ,"1,223",a ,"1,165",a ,3.6,b ,"2,141",
University Endowment Lands,0.0,c ,0.2,a ,"1,762",a ,"1,651",a ,2.8,a ,"1,277",
Central Park/Metrotown,0.8,a ,1.0,a ,"1,125",a ,"1,000",a ,7.4,a ,"6,041",
Southeast Burnaby,0.7,a ,0.9,a ,970,a ,934,a ,6.2,b ,"2,354",
North Burnaby,1.0,a ,2.0,a ,"1,152",a ,"1,088",a ,5.8,b ,"3,881",
New Westminster,0.4,a ,0.6,a ,993,a ,936,a ,5.2,c ,"8,060",
North Vancouver CY,0.3,a ,1.1,a ,"1,243",a ,"1,200",a ,6.7,c ,"6,006",
North Vancouver DM,0.1,a ,0.2,a ,"1,363",a ,"1,313",a ,2.9,a ,"1,131",
West Vancouver,0.2,a ,0.6,a ,"1,746",a ,"1,581",a ,5.3,b ,"2,329",
Richmond,1.0,a ,1.1,a ,"1,211",a ,"1,200",a ,5.5,a ,"2,795",
Delta,0.0,b ,0.3,a ,963,a ,895,a ,5.9,c ,"1,727",
Surrey,0.4,a ,0.7,a ,940,a ,925,a ,7.6,a ,"5,581",
White Rock,0.1,b ,0.1,b ,943,a ,900,a ,2.2,c ,"1,377",
Langley City and Langley DM,1.1,a ,1.5,a ,"1,002",a ,970,a ,9.6,b ,"2,157",
Tri-Cities,1.7,a ,2.3,a ,984,a ,950,a ,3.6,c ,"4,567",
Maple Ridge/Pitt Meadows,0.5,a ,0.8,a ,837,a ,844,a ,++,,"1,566",
Vancouver,0.7,a ,1.2,a ,"1,223",a ,"1,127",a ,6.4,a ,"107,867",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
"CMA, CA and CSD definitions are based on 2016 Census Geography Definitions"
Source,CMHC Rental Market Survey
